ITEM,CLEANING FREQUENCY,CLEANING EQUIPMENT,CLEANING CHEMICAL,METHOD,RESPONSIBLE STAFF MEMEBER,RESPONSIBLE MANAGER/SUPERVISOR ,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
BANDSAW,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,"Wash, scrub, rinse, whipe & sanitize",SIPHO,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MINCER LRG,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,"Wash, scrub, rinse, whipe & sanitize","SINAZO,LUKHANYO,ASAVELA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BLENDER,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,"Wash, scrub, rinse, whipe & sanitize","SINAZO,LUKHANYO,ASAVELA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SAUSAGE FILLER,Daily or when visibly soiled,Cloth,all purpose & sanitiser,"Wash, scrub, rinse, whipe & sanitize","SINAZO,LUKHANYO,ASAVELA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SAUSAGE BUCKETS,Daily or when visibly soiled,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",LUKHANYO,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TABLES,Daily or when visibly soiled,Brush and Scrapper,all purpose & sanitiser,"Wash, whipe & sanitize",LINDA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SCALE,Daily or when visibly soiled,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize","THANDIWE,LINDELWA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FLOOR BACK,Daily or when visibly soiled,"Broom, Sponge & Mop",all purpose & sanitiser,"Wash, whipe & sanitize","LUKHANYO,ASAVELA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FLOOR FRONT,Daily or when visibly soiled,"Broom, Sponge & Mop",all purpose & sanitiser,"Wash, whipe & sanitize",SIWE/YABULELA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COLDROOM,Daily or when visibly soiled,"Broom, Sponge & Mop",all purpose & sanitiser,"Wash, whipe & sanitize","FATIMA,PAMELA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MAIN FREEZER,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, sanitize","SIPHO,LUKHANYO,ASAVELA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
