ITEM,CLEANING FREQUENCY,CLEANING EQUIPMENT,CLEANING CHEMICAL,METHOD,RESPONSIBLE STAFF MEMEBER,RESPONSIBLE MANAGER/SUPERVISOR ,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
BANDSAW,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,"Wash, scrub, rinse, whipe & sanitize",,CLIVE,,,,,,,
MINCER LRG,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,"Wash, scrub, rinse, whipe & sanitize",,CLIVE,,,,,,,
BLENDER,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,"Wash, scrub, rinse, whipe & sanitize",,CLIVE,,,,,,,
SAUSAGE FILLER,Daily or when visibly soiled,Cloth,all purpose & sanitiser,"Wash, scrub, rinse, whipe & sanitize",,CLIVE,,,,,,,
SAUSAGE BUCKETS,Daily or when visibly soiled,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
TABLES,Daily or when visibly soiled,Brush and Scrapper,all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
SCALE,Daily or when visibly soiled,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
FLOOR BACK,Daily or when visibly soiled,"Broom, Sponge & Mop",all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
FLOOR FRONT,Daily or when visibly soiled,"Broom, Sponge & Mop",all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
COLDROOM,Daily or when visibly soiled,"Broom, Sponge & Mop",all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
MAIN FREEZER,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, sanitize",,CLIVE,,,,,,,
SERVING COUNTER,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,,CLIVE,,,,,,,
BILTONG MACHINE,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
BILTONG COUNTER,Daily or when visibly soiled,Brush and Cloth,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,,CLIVE,,,,,,,
BILTONG SLICER,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,,CLIVE,,,,,,,
CUPBOARDS,Daily or when visibly soiled,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
UP RIGHT 16 DOORS FRIDGE,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, scrub,whipe & sanitize",,CLIVE,,,,,,,
ISLAND FREEZER,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, scrub,whipe & sanitize",,CLIVE,,,,,,,
DISPLAY COUNTER,Daily or when visibly soiled,Scrapper and Cloth,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,,CLIVE,,,,,,,
POLONY SLICER,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
UTENSILS,Daily or when visibly soiled,Brush and Scrapper,Residue D,WASH & SOAK RECIHER,,CLIVE,,,,,,,
CUTTING BOARDS,Daily or when visibly soiled,Brush and Scrapper,Residue D,WASH & SOAK RECIHER,,CLIVE,,,,,,,
SANITIZER BUCKETS,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,,CLIVE,,,,,,,
VACUUM MACHINE,Daily or when visibly soiled,Brush and Scrapper,Residue D,WASH & SOAK RECIHER,,CLIVE,,,,,,,
GRAB & GO FRIDGE,Daily,Brush and Scrapper,Residue D,WASH & SOAK RECIHER,,CLIVE,,,,,,,
"MOPS,BROOMS,BINS",Daily,WASH,Residue D,WASH,,CLIVE,,,,,,,
BLINDS,Daily,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
WALLS,Daily,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",,CLIVE,,,,,,,
