ITEM,FREQUENCY OF CLEANING,CLEANING EQUIPMENT,CLEANING CHEMICAL,METHOD,
CAKE MIXER LRG,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",
BUN DEVIDER,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",
CAKE MIXER SMALL,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",-
BREAD DIVIDER,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",
BREAD MOULDER,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",
SCALE,Daily or when visibly soiled,Cloth,all purpose & sanitiser,wipe with sanitizer,
TABLES,Daily or when visibly soiled,cloth,all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",
ROLL MOULDER,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",
FLOOR,Daily or when visibly soiled,"Broom, Squeegee & Mop",all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",
COLDROOM,Daily or when visibly soiled,"Broom, Squeegee & Mop",all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",
WALK FREEZER,Daily or when visibly soiled,"Broom, Squeegee & Mop",all purpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize",
SERVING COUNTER,Daily or when visibly soiled,cloth,all purpose & sanitiser,"Wash, wipe & sanitize",
TART FRIDGE,Daily or when visibly soiled,cloth,all purpose & sanitiser,"Wash, wipe & sanitize",
SMALL GRABS FRIDGE,Daily or when visibly soiled,cloth,all purpose & sanitiser,"Wash, wipe & sanitize",
CUPBOARDS,Daily or when visibly soiled,cloth,Resider,wash soak & sanitize,
DISPLAY COUNTER,Daily or when visibly soiled,cloth,all purpose & sanitiser,Wash wipe & sanitize,
BREAD MIXER,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, wipe & sanitize",
CLEANING UTENSILS,Daily or when visibly soiled,cloth,all purpose & sanitiser,Wash & sanitize,
SANITIZER BUCKETS,Daily or when visibly soiled,cloth,all purpose & sanitiser,"Wash, wipe & sanitize",
PROOVER,Daily or when visibly soiled,Brush and cloth,Degrease & sanitiser,"Wash,scrub,rinse,wipe & sanitize",
FOOD STORAGE BINS,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub,rinse, wipe & sanitize",
PASTRY SHEETER,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub, wipe & sanitize",
MICROWAVE,Daily or when visibly soiled,Brush and Scraper,Degrease & sanitiser,wipe with sanitize,
BREAD TROLLY,Daily or when visibly soiled,Brush and Scraper,all purpose & sanitiser,"Wash,scrub,rinse,wipe & sanitize",
DONUT FRYER,Daily or when visibly soiled,Brush and cloth,Degrease & sanitiser,"Wash,scrub,rinse,wipe & sanitize",
TROLLY PANS,Daily or when visibly soiled,Brush and Scraper,all purpose & sanitiser,"Wash, scrub,rinse, wipe & sanitize",
LEFT OVEN,Daily or when visibly soiled,"Brush, Scraper & cloth",Degrease & sanitiser,"Wash, scrub,rinse, wipe & sanitize",
RIGHT OVEN,Daily or when visibly soiled,"Brush, Scraper & cloth",Degrease & sanitiser,"Wash, scrub,rinse, wipe & sanitize",
SHELVING,Weekly or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub,wipe & sanitize",
WALLS,Monthly or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub,rinse, wipe & sanitize",
CEILING,Monthly or when visibly soiled,Brush and cloth,all purpose & sanitiser,wipe & sanitize,
DOOR & HANDLE,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,wipe & sanitize,
COOLING FAN,Monthly or when visibly soiled,Brush and cloth,all purpose & sanitiser,wipe & sanitize,
LIGHT FITTINGS,Monthly or when visibly soiled,Brush and cloth,all purpose & sanitiser,wipe & sanitize,
FOOD STORAGE CONTAINERS,Weekly or when visibly soiled,Brush and cloth,all purpose & sanitiser,"Wash, scrub,rinse, wipe & sanitize",
MOP & BROOM,Daily,WASH,Resider,"Wash, scrub,rinse, wipe & sanitize",
BLINDS,Daily,cloth,all purpose & sanitiser,"Wash, wipe & sanitize",
VETKOEK FRYER,Daily or when visibly soiled,Brush and cloth,Degrease & sanitiser,"Wash, scrub,rinse, wipe & sanitize",
DISPLAY TABLES,Daily or when visibly soiled,Brush and cloth,all purpose & sanitiser,wipe & sanitize,
CUTTING BOARDS,Daily or when visibly soiled,Brush and Scraper,Recider,WASH & SOAK RECIDER,
