Select,Prod Code,Ingr Prod Code,Ingredient Description,Pack Size,Recipe Weight,Cost,Recipe Use,Total Cost,Unit Cost Excl
BAKERY,26710,WHITE BREAD,Vat,,,,,,6.89
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,15736,W/CAPE MILL  MIX WHT BRD,9.5KG,47.500,12.29,47.500,584.00,
BAKERY,,28779,YEAST WET,P/KG,1.000,34.25,1.000,34.25,
BAKERY,,29030,SPAR WATER,P/KG,24.700,3.20,24.700,79.04,
BAKERY,,28495,SPAR WHITE BREAD BAG,600GR,,0.50,122.000,60.98,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,73.2,,,758.26,
BAKERY,,,,,Scale,,0.660,,
BAKERY,,,,,Yield,110.91,110.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,6.89
BAKERY,,,,,,,,,
BAKERY,26711,BROWN BREAD,Vat,,,,,,6.35
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,15737,W/CAPE MILL MIX BRWN BRD,9.5KG,47.500,11.22,47.500,532.95,
BAKERY,,28779,YEAST WET,P/KG,1.000,34.25,1.000,34.25,
BAKERY,,29030,SPAR WATER,P/KG,26.000,3.20,26.000,83.20,
BAKERY,,28495,SPAR WHITE BREAD BAG,600GR,,0.50,122.000,60.98,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,74.5,,,711.38,
BAKERY,,,,,Scale,,0.660,,
BAKERY,,,,,Yield,112.88,112.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,6.35
BAKERY,,,,,,,,,
BAKERY,27320,RAISIN LOAF,Vat,,,,,,8.44
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,28667,WC MILLING SOFT ROLL MIX,12.5K,12.500,13.49,12.500,168.68,
BAKERY,,2520,SMARTBAKER MIX,12.5K,3.500,322.41,0.280,90.27,
BAKERY,,28779,YEAST WET,P/KG,0.500,34.25,0.500,17.13,
BAKERY,,29030,SPAR WATER,P/KG,6.000,3.20,6.000,19.20,
BAKERY,,27691,POLYPROP 250X400X30,EA,,1.87,45.000,84.33,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,22.5,,,379.61,
BAKERY,,,,,Scale,,0.500,,
BAKERY,,,,,Yield,45.00,45.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,8.44
BAKERY,,,,,,,,,
BAKERY,26910,TEA BUNS,Vat,,,,,,5.81
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,28667,WC MILLING SOFT ROLL MIX,12.5K,12.500,13.49,12.500,168.68,
BAKERY,,2520,SMARTBAKER MIX,12.5K,3.500,322.41,0.280,90.27,
BAKERY,,28779,YEAST WET,P/KG,0.500,34.25,0.500,17.13,
BAKERY,,29030,SPAR WATER,P/KG,6.000,3.20,6.000,19.20,
BAKERY,,27691,POLYPROP 250X400X30,EA,,1.87,75.000,140.55,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,22.5,,,435.83,
BAKERY,,,,,Scale,,0.300,,
BAKERY,,,,,Yield,75.00,75.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,5.81
BAKERY,,,,,,,,,
BAKERY,27322,MOSBOLLETJIES,Vat,,,,,,11.05
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,28667,WC MILLING SOFT ROLL MIX,12.5K,12.500,13.49,12.500,168.68,
BAKERY,,27514,ANISEED WHOLE,P/KG,1.000,162.10,1.000,162.10,
BAKERY,,28779,YEAST WET,P/KG,0.500,34.25,0.500,17.13,
BAKERY,,29030,SPAR WATER,P/KG,6.000,3.20,6.000,19.20,
BAKERY,,27691,POLYPROP 250X400X30,EA,,1.87,40.000,74.96,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,20,,,442.07,
BAKERY,,,,,Scale,,0.500,,
BAKERY,,,,,Yield,40.00,40.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,11.05
BAKERY,,,,,,,,,
BAKERY,27323,SCHOOL BUN,Vat,,,,,,7.06
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,28667,WC MILLING SOFT ROLL MIX,12.5K,12.500,13.49,12.500,168.68,
BAKERY,,28779,YEAST WET,P/KG,0.500,34.25,0.500,17.13,
BAKERY,,29030,SPAR WATER,P/KG,6.000,3.20,6.000,19.20,
BAKERY,,27691,POLYPROP 250X400X30,EA,,1.87,52.000,97.45,
BAKERY,,26539,4051 PER BOX ONLY HOTCROSS,EA,,0.95,52.000,49.14,
BAKERY,,27494,SYRUP BAKERY CHIPKINS,P/KG,,30.84,0.500,15.42,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,19,,,367.01,
