tracking_id,product_code,batch_number,supplier_code,quantity_remaining,unit,storage_location,expiry_date,best_before_date,received_date,status,department
REC001,15736,B240115001,1001,25,kg,Dry Store A,2024-06-15,2024-05-15,2024-01-15,active,BAKERY
REC002,28779,Y240115001,1001,2,kg,Cold Store 1,2024-01-22,2024-01-20,2024-01-15,active,BAKERY
REC003,29030,W240115001,1002,100,liters,Utility Room,2024-12-31,2024-12-31,2024-01-15,active,BAKERY
REC004,BF001,M240116001,1002,50,kg,Cold Room 1,2024-01-18,2024-01-17,2024-01-16,active,BUTCHERY
REC005,PF001,F240116001,1002,10,kg,Freezer A,2024-02-16,2024-02-14,2024-01-16,active,BUTCHERY
REC006,SP001,S240116001,1008,5,kg,Dry Store B,2024-07-16,2024-06-16,2024-01-16,active,BUTCHERY
REC007,15737,B240117001,1001,20,kg,Dry Store A,2024-06-17,2024-05-17,2024-01-17,active,BAKERY
REC008,RS001,R240117001,1003,15,kg,Dry Store A,2024-12-17,2024-11-17,2024-01-17,active,BAKERY
REC009,SG001,SU240117001,1003,25,kg,Dry Store A,2024-12-17,2024-12-17,2024-01-17,active,BAKERY
REC010,CS001,C240118001,1002,2,meters,Cold Store 2,2024-02-18,2024-02-15,2024-01-18,active,BUTCHERY
